,x,
1,10.1177/03611981241270162,
2,10.1080/01441647.2024.2389800,
3,10.1177/03611981241254382,
4,10.1177/03611981241254385,
5,10.1016/j.trip.2024.101076,X
6,10.1371/journal.pone.0299077,
7,10.1016/j.tra.2023.103790,
8,10.1016/j.progress.2023.100740,
9,10.1080/13563475.2023.2212134,
10,10.1177/03611981231167424,
11,10.1016/j.jtrangeo.2023.103595,
12,10.1371/journal.pone.0278468,
13,10.1177/23998083221146781,
14,10.3390/ijerph20010890,
15,10.1111/tgis.12989,
16,10.3390/ijgi11070413,
17,10.1007/s11442-022-1961-1,
18,NA,
19,10.1177/03611981211032221,
20,10.1111/gean.12285,
21,10.2478/bog-2020-0037,
22,10.1016/j.trd.2020.102535,
23,10.1016/j.trd.2020.102355,
24,10.1111/gean.12188,
25,10.1016/j.jtrangeo.2019.102618,
26,10.5198/jtlu.2020.1660,
27,10.21138/GF.657,
28,10.3390/computation7030051,
29,10.1016/j.jtrangeo.2019.02.007,
30,10.1007/s11067-019-09445-w,
31,10.1016/j.compenvurbsys.2018.07.005,
32,10.1016/j.scs.2017.04.014,
33,10.1007/s12061-015-9177-8,
34,10.3130/jaabe.16.311,
35,NA,
36,NA,
37,10.1016/j.trb.2015.08.002,
38,10.1061/(ASCE)UP.1943-5444.0000211,
39,10.1016/j.compenvurbsys.2014.05.005,
40,10.1080/15568318.2012.719582,
41,10.1007/s10109-014-0201-3,
42,10.1179/1942786713Z.00000000018,
43,10.1080/03081060.2012.739311,
44,10.1111/j.1468-2257.2012.00602.x,
45,10.1068/b36097,
46,10.1080/01944363.2012.677119,
47,10.1068/b37094,
48,10.5198/jtlu.v5i3.300,
49,10.1007/s11067-011-9153-z,
50,10.1177/0042098009359949,
51,10.1016/j.progress.2010.05.001,
52,10.1177/0739456X10363278,
53,10.1016/j.jtrangeo.2009.01.012,
54,10.1068/a3913,
55,10.1068/b31099,
56,NA,
57,10.1068/b305,
58,10.3141/1854-07,
59,10.1068/b12940,
60,10.1080/0042098022000011353,
61,10.1111/j.1538-4632.1999.tb00976.x,
62,10.1111/j.1538-4632.1998.tb00396.x,
63,10.1068/b250345,
64,NA,
65,10.1068/a291175,
66,NA,
67,NA,
68,10.1068/a170213,
69,10.1016/0166-0462(84)90009-7,
70,10.1016/0038-0121(81)90042-2,
71,NA,
72,10.1068/a120053,
73,10.1016/0191-2607(79)90012-8,
74,10.1068/a100371,
75,10.1068/a101287,
76,10.1068/a080189,
